"GISJOIN","FIPS","ADI_NATRANK","ADI_STATERNK"
"G16000100103691","160010103691","18","1"
"G16000100103692","160010103692","26","2"
"G16000100103701","160010103701","17","1"
"G16000100103702","160010103702","36","4"
"G16000100103711","160010103711","29","3"
"G16000100103712","160010103712","24","2"
"G16000100104031","160010104031","32","3"
"G16000100104032","160010104032","27","2"
"G16000100104033","160010104033","28","3"
"G16000100104041","160010104041","43","5"
"G16000100104042","160010104042","49","7"
"G16000100104043","160010104043","55","7"
"G16000100104051","160010104051","28","3"
"G16000100104052","160010104052","28","3"
"G16000100104061","160010104061","37","4"
"G16000100104062","160010104062","37","4"
"G16000100104071","160010104071","25","2"
"G16000100104072","160010104072","33","4"
"G16000100104073","160010104073","29","3"
"G16000100104081","160010104081","22","2"
"G16000100104082","160010104082","22","2"
"G16000100104083","160010104083","22","2"
"G16000100104091","160010104091","27","2"
"G16000100104092","160010104092","36","4"
"G16000100104093","160010104093","32","3"
"G16000100104101","160010104101","45","6"
"G16000100104102","160010104102","47","6"
"G16000100104103","160010104103","41","5"
"G16000100104111","160010104111","26","2"
"G16000100104112","160010104112","25","2"
"G16000100105011","160010105011","GQ","GQ"
"G16000100105031","160010105031","45","6"
"G16000100105032","160010105032","24","2"
"G16000100105033","160010105033","17","1"
"G16000100105034","160010105034","21","2"
"G16000100105051","160010105051","27","2"
"G16000100105052","160010105052","22","2"
"G16000100105061","160010105061","13","1"
"G16000100105062","160010105062","30","3"
"G16000309501001","160039501001","37","4"
"G16000309501002","160039501002","34","4"
"G16000309502001","160039502001","50","7"
"G16000309502002","160039502002","52","7"
"G16000309502003","160039502003","76","10"
"G16000500002001","160050002001","30","3"
"G16000500002002","160050002002","47","6"
"G16000500002003","160050002003","35","4"
"G16000500003011","160050003011","52","7"
"G16000500003012","160050003012","47","6"
"G16000500003013","160050003013","51","7"
"G16000500003021","160050003021","35","4"
"G16000500003022","160050003022","52","7"
"G16000500003023","160050003023","82","10"
"G16000500004001","160050004001","38","4"
"G16000500004002","160050004002","48","6"
"G16000500004003","160050004003","42","5"
"G16000500005001","160050005001","34","4"
"G16000500006001","160050006001","92","10"
"G16000500006002","160050006002","58","8"
"G16000500007001","160050007001","GQ","GQ"
"G16000500007002","160050007002","68","9"
"G16000500007003","160050007003","GQ","GQ"
"G16000500008001","160050008001","81","10"
"G16000500008002","160050008002","75","10"
"G16000500009001","160050009001","67","9"
"G16000500009002","160050009002","83","10"
"G16000500010001","160050010001","62","8"
"G16000500010002","160050010002","76","10"
"G16000500010003","160050010003","75","10"
"G16000500011021","160050011021","68","9"
"G16000500011022","160050011022","40","5"
"G16000500011023","160050011023","59","8"
"G16000500011031","160050011031","32","3"
"G16000500011032","160050011032","40","5"
"G16000500011033","160050011033","49","7"
"G16000500011041","160050011041","16","1"
"G16000500011042","160050011042","39","5"
"G16000500012001","160050012001","72","9"
"G16000500012002","160050012002","75","10"
"G16000500012003","160050012003","65","9"
"G16000500013001","160050013001","82","10"
"G16000500013002","160050013002","79","10"
"G16000500013003","160050013003","82","10"
"G16000500014001","160050014001","81","10"
"G16000500014002","160050014002","79","10"
"G16000500014003","160050014003","70","9"
"G16000500014004","160050014004","85","10"
"G16000500015001","160050015001","55","7"
"G16000500015002","160050015002","79","10"
"G16000500015003","160050015003","58","8"
"G16000500015004","160050015004","73","10"
"G16000500015005","160050015005","63","8"
"G16000500016011","160050016011","81","10"
"G16000500016012","160050016012","87","10"
"G16000500016021","160050016021","80","10"
"G16000500016022","160050016022","69","9"
"G16000500016023","160050016023","67","9"
"G16000500016031","160050016031","71","9"
"G16000500016032","160050016032","68","9"
"G16000500017001","160050017001","47","6"
"G16000500017002","160050017002","28","3"
"G16000500019001","160050019001","47","6"
"G16000500019002","160050019002","52","7"
"G16000500019003","160050019003","44","6"
"G16000500019004","160050019004","64","9"
"G16000509400001","160059400001","79","10"
"G16000509400002","160059400002","79","10"
"G16000509818001","160059818001","63","8"
"G16000709501001","160079501001","79","10"
"G16000709501002","160079501002","85","10"
"G16000709501003","160079501003","66","9"
"G16000709501004","160079501004","52","7"
"G16000709502001","160079502001","37","4"
"G16000709502002","160079502002","59","8"
"G16000709502003","160079502003","59","8"
"G16000909400001","160099400001","41","5"
"G16000909400002","160099400002","64","9"
"G16000909400003","160099400003","64","9"
"G16000909400004","160099400004","36","4"
"G16000909400005","160099400005","67","9"
"G16000909501001","160099501001","58","8"
"G16000909501002","160099501002","76","10"
"G16000909501003","160099501003","62","8"
"G16000909501004","160099501004","61","8"
"G16001109400001","160119400001","70","9"
"G16001109400002","160119400002","78","10"
"G16001109501011","160119501011","23","2"
"G16001109501012","160119501012","50","7"
"G16001109501021","160119501021","48","6"
"G16001109501022","160119501022","33","4"
"G16001109501023","160119501023","52","7"
"G16001109502001","160119502001","57","8"
"G16001109502002","160119502002","52","7"
"G16001109502003","160119502003","57","8"
"G16001109503001","160119503001","52","7"
"G16001109503002","160119503002","65","9"
"G16001109503003","160119503003","71","9"
"G16001109503004","160119503004","81","10"
"G16001109503005","160119503005","72","9"
"G16001109504001","160119504001","55","7"
"G16001109504002","160119504002","54","7"
"G16001109504003","160119504003","77","10"
"G16001109504004","160119504004","64","9"
"G16001109504005","160119504005","65","9"
"G16001109505011","160119505011","35","4"
"G16001109505012","160119505012","54","7"
"G16001109505021","160119505021","75","10"
"G16001109505022","160119505022","75","10"
"G16001109505023","160119505023","73","10"
"G16001109506001","160119506001","40","5"
"G16001109506002","160119506002","55","7"
"G16001109506003","160119506003","53","7"
"G16001109506004","160119506004","59","8"
"G16001109507001","160119507001","55","7"
"G16001109507002","160119507002","40","5"
"G16001109507003","160119507003","55","7"
"G16001309601011","160139601011","65","9"
"G16001309601012","160139601012","70","9"
"G16001309601021","160139601021","12","1"
"G16001309601022","160139601022","12","1"
"G16001309601023","160139601023","12","1"
"G16001309602011","160139602011","9","1"
"G16001309602012","160139602012","27","2"
"G16001309602013","160139602013","45","6"
"G16001309602021","160139602021","35","4"
"G16001309602022","160139602022","34","4"
"G16001309602023","160139602023","4","1"
"G16001309603011","160139603011","20","2"
"G16001309603012","160139603012","18","1"
"G16001309603013","160139603013","17","1"
"G16001309603021","160139603021","5","1"
"G16001309603022","160139603022","8","1"
"G16001309605011","160139605011","17","1"
"G16001309605012","160139605012","16","1"
"G16001309605021","160139605021","3","1"
"G16001309605022","160139605022","3","1"
"G16001509502011","160159502011","25","2"
"G16001509502012","160159502012","25","2"
"G16001509502021","160159502021","34","4"
"G16001509502022","160159502022","45","6"
"G16001509502023","160159502023","30","3"
"G16001509502031","160159502031","51","7"
"G16001509502032","160159502032","53","7"
"G16001509502033","160159502033","32","3"
"G16001709501001","160179501001","68","9"
"G16001709501002","160179501002","57","8"
"G16001709501003","160179501003","31","3"
"G16001709501004","160179501004","31","3"
"G16001709502011","160179502011","41","5"
"G16001709502012","160179502012","29","3"
"G16001709502021","160179502021","28","3"
"G16001709502022","160179502022","31","3"
"G16001709502031","160179502031","33","4"
"G16001709502032","160179502032","43","5"
"G16001709502033","160179502033","42","5"
"G16001709503001","160179503001","45","6"
"G16001709503002","160179503002","35","4"
"G16001709503003","160179503003","38","4"
"G16001709503004","160179503004","26","2"
"G16001709504011","160179504011","30","3"
"G16001709504021","160179504021","38","4"
"G16001709504022","160179504022","35","4"
"G16001709504023","160179504023","33","4"
"G16001709504031","160179504031","24","2"
"G16001709504032","160179504032","20","2"
"G16001709505001","160179505001","56","8"
"G16001709505002","160179505002","56","8"
"G16001709505003","160179505003","57","8"
"G16001709505004","160179505004","58","8"
"G16001709506001","160179506001","26","2"
"G16001709506002","160179506002","48","6"
"G16001709506003","160179506003","27","2"
"G16001709506004","160179506004","21","2"
"G16001709507011","160179507011","25","2"
"G16001709507012","160179507012","67","9"
"G16001709507013","160179507013","45","6"
"G16001709507021","160179507021","53","7"
"G16001709507022","160179507022","61","8"
"G16001709508011","160179508011","19","1"
"G16001709508012","160179508012","33","4"
"G16001709508013","160179508013","32","3"
"G16001709508021","160179508021","39","5"
"G16001709508022","160179508022","37","4"
"G16001709508023","160179508023","32","3"
"G16001709509011","160179509011","27","2"
"G16001709509012","160179509012","18","1"
"G16001709509021","160179509021","32","3"
"G16001709509022","160179509022","26","2"
"G16001909701001","160199701001","33","4"
"G16001909701002","160199701002","11","1"
"G16001909701003","160199701003","42","5"
"G16001909701004","160199701004","21","2"
"G16001909703001","160199703001","40","5"
"G16001909703002","160199703002","49","7"
"G16001909703003","160199703003","43","5"
"G16001909703004","160199703004","43","6"
"G16001909704011","160199704011","24","2"
"G16001909704012","160199704012","92","10"
"G16001909704021","160199704021","34","4"
"G16001909704022","160199704022","35","4"
"G16001909704041","160199704041","61","8"
"G16001909704042","160199704042","61","8"
"G16001909704043","160199704043","61","8"
"G16001909704051","160199704051","47","6"
"G16001909704052","160199704052","45","6"
"G16001909704053","160199704053","51","7"
"G16001909705021","160199705021","63","8"
"G16001909705022","160199705022","52","7"
"G16001909705023","160199705023","46","6"
"G16001909705031","160199705031","37","4"
"G16001909705032","160199705032","34","4"
"G16001909705033","160199705033","30","3"
"G16001909705041","160199705041","41","5"
"G16001909705042","160199705042","30","3"
"G16001909705051","160199705051","51","7"
"G16001909705052","160199705052","55","7"
"G16001909706011","160199706011","59","8"
"G16001909706012","160199706012","59","8"
"G16001909706013","160199706013","60","8"
"G16001909706021","160199706021","64","9"
"G16001909706022","160199706022","63","8"
"G16001909706023","160199706023","61","8"
"G16001909706024","160199706024","58","8"
"G16001909706031","160199706031","39","5"
"G16001909707001","160199707001","73","10"
"G16001909707002","160199707002","81","10"
"G16001909707003","160199707003","81","10"
"G16001909707004","160199707004","83","10"
"G16001909708001","160199708001","62","8"
"G16001909708002","160199708002","64","9"
"G16001909708003","160199708003","59","8"
"G16001909708004","160199708004","58","8"
"G16001909709001","160199709001","61","8"
"G16001909709002","160199709002","52","7"
"G16001909709003","160199709003","38","5"
"G16001909710001","160199710001","73","10"
"G16001909710002","160199710002","72","9"
"G16001909710003","160199710003","61","8"
"G16001909710004","160199710004","63","8"
"G16001909710005","160199710005","42","5"
"G16001909710006","160199710006","43","6"
"G16001909711001","160199711001","57","8"
"G16001909711002","160199711002","62","8"
"G16001909711003","160199711003","67","9"
"G16001909711004","160199711004","58","8"
"G16001909712001","160199712001","79","10"
"G16001909712002","160199712002","82","10"
"G16001909712003","160199712003","88","10"
"G16001909712004","160199712004","85","10"
"G16001909713011","160199713011","50","7"
"G16001909713012","160199713012","57","8"
"G16001909713013","160199713013","54","7"
"G16001909713014","160199713014","54","7"
"G16001909713015","160199713015","40","5"
"G16001909713021","160199713021","50","7"
"G16001909713022","160199713022","56","8"
"G16001909713023","160199713023","40","5"
"G16001909713024","160199713024","43","6"
"G16001909714011","160199714011","42","5"
"G16001909714012","160199714012","30","3"
"G16001909714021","160199714021","12","1"
"G16001909714022","160199714022","26","2"
"G16001909714023","160199714023","26","2"
"G16001909715001","160199715001","46","6"
"G16001909715002","160199715002","32","3"
"G16002109701001","160219701001","41","5"
"G16002109701002","160219701002","45","6"
"G16002109701003","160219701003","43","6"
"G16002109701004","160219701004","49","7"
"G16002109702001","160219702001","43","6"
"G16002109702002","160219702002","46","6"
"G16002109702003","160219702003","54","7"
"G16002109702004","160219702004","42","5"
"G16002109702005","160219702005","41","5"
"G16002309701001","160239701001","76","10"
"G16002309701002","160239701002","70","9"
"G16002309701003","160239701003","72","9"
"G16002509701001","160259701001","59","8"
"G16002700201001","160270201001","57","8"
"G16002700202001","160270202001","73","10"
"G16002700202002","160270202002","78","10"
"G16002700203001","160270203001","67","9"
"G16002700203002","160270203002","68","9"
"G16002700204031","160270204031","56","8"
"G16002700204032","160270204032","50","7"
"G16002700204033","160270204033","40","5"
"G16002700204041","160270204041","43","6"
"G16002700204042","160270204042","48","6"
"G16002700204043","160270204043","48","6"
"G16002700204051","160270204051","72","9"
"G16002700204052","160270204052","59","8"
"G16002700204061","160270204061","GQ","GQ"
"G16002700204062","160270204062","38","5"
"G16002700205011","160270205011","51","7"
"G16002700205012","160270205012","51","7"
"G16002700205013","160270205013","48","6"
"G16002700205031","160270205031","41","5"
"G16002700205032","160270205032","46","6"
"G16002700205051","160270205051","57","8"
"G16002700205052","160270205052","43","6"
"G16002700205061","160270205061","59","8"
"G16002700205062","160270205062","58","8"
"G16002700206011","160270206011","46","6"
"G16002700206012","160270206012","48","6"
"G16002700206031","160270206031","55","7"
"G16002700206032","160270206032","36","4"
"G16002700206033","160270206033","72","9"
"G16002700206041","160270206041","65","9"
"G16002700206042","160270206042","65","9"
"G16002700207001","160270207001","34","4"
"G16002700207002","160270207002","30","3"
"G16002700207003","160270207003","34","4"
"G16002700209031","160270209031","39","5"
"G16002700209032","160270209032","35","4"
"G16002700209041","160270209041","50","7"
"G16002700209042","160270209042","38","5"
"G16002700209043","160270209043","34","4"
"G16002700209044","160270209044","41","5"
"G16002700209051","160270209051","32","3"
"G16002700209052","160270209052","32","3"
"G16002700209053","160270209053","33","4"
"G16002700209061","160270209061","32","3"
"G16002700209062","160270209062","30","3"
"G16002700209063","160270209063","30","3"
"G16002700209064","160270209064","34","4"
"G16002700209071","160270209071","32","3"
"G16002700209072","160270209072","37","4"
"G16002700209081","160270209081","34","4"
"G16002700209082","160270209082","36","4"
"G16002700209091","160270209091","36","4"
"G16002700209092","160270209092","41","5"
"G16002700209101","160270209101","17","1"
"G16002700210031","160270210031","40","5"
"G16002700210032","160270210032","43","6"
"G16002700210041","160270210041","42","5"
"G16002700210042","160270210042","48","6"
"G16002700210043","160270210043","44","6"
"G16002700210051","160270210051","37","4"
"G16002700210052","160270210052","41","5"
"G16002700210053","160270210053","39","5"
"G16002700210061","160270210061","85","10"
"G16002700210062","160270210062","75","10"
"G16002700210063","160270210063","78","10"
"G16002700210071","160270210071","47","6"
"G16002700210072","160270210072","39","5"
"G16002700210073","160270210073","49","7"
"G16002700210081","160270210081","42","5"
"G16002700210082","160270210082","42","5"
"G16002700210083","160270210083","42","5"
"G16002700211011","160270211011","46","6"
"G16002700211012","160270211012","47","6"
"G16002700211013","160270211013","48","6"
"G16002700211021","160270211021","38","5"
"G16002700211022","160270211022","41","5"
"G16002700211031","160270211031","46","6"
"G16002700211032","160270211032","44","6"
"G16002700211041","160270211041","18","1"
"G16002700211042","160270211042","36","4"
"G16002700211043","160270211043","GQ","GQ"
"G16002700211051","160270211051","31","3"
"G16002700211052","160270211052","43","6"
"G16002700211053","160270211053","17","1"
"G16002700212011","160270212011","56","8"
"G16002700212012","160270212012","47","6"
"G16002700212021","160270212021","78","10"
"G16002700212022","160270212022","56","8"
"G16002700213001","160270213001","64","9"
"G16002700213002","160270213002","GQ","GQ"
"G16002700215001","160270215001","GQ","GQ"
"G16002700215002","160270215002","57","8"
"G16002700215003","160270215003","76","10"
"G16002700216001","160270216001","61","8"
"G16002700216002","160270216002","52","7"
"G16002700216003","160270216003","49","7"
"G16002700217011","160270217011","37","4"
"G16002700217012","160270217012","36","4"
"G16002700217013","160270217013","37","4"
"G16002700217021","160270217021","80","10"
"G16002700217022","160270217022","73","10"
"G16002700217023","160270217023","74","10"
"G16002700218011","160270218011","30","3"
"G16002700218012","160270218012","42","5"
"G16002700218013","160270218013","36","4"
"G16002700218014","160270218014","55","7"
"G16002700218021","160270218021","31","3"
"G16002700218022","160270218022","32","3"
"G16002700219011","160270219011","52","7"
"G16002700219012","160270219012","49","7"
"G16002700219013","160270219013","51","7"
"G16002700219041","160270219041","74","10"
"G16002700219042","160270219042","34","4"
"G16002700219051","160270219051","24","2"
"G16002700219052","160270219052","35","4"
"G16002700219053","160270219053","32","3"
"G16002700219061","160270219061","15","1"
"G16002700219062","160270219062","21","2"
"G16002700219063","160270219063","19","1"
"G16002700219071","160270219071","29","3"
"G16002700219072","160270219072","27","2"
"G16002700221001","160270221001","42","5"
"G16002700221002","160270221002","65","9"
"G16002700221003","160270221003","40","5"
"G16002700222001","160270222001","30","3"
"G16002700222002","160270222002","73","10"
"G16002700222003","160270222003","38","5"
"G16002700223011","160270223011","29","3"
"G16002700223012","160270223012","17","1"
"G16002700223021","160270223021","17","1"
"G16002700223031","160270223031","23","2"
"G16002700224001","160270224001","20","2"
"G16002700224002","160270224002","25","2"
"G16002909601001","160299601001","69","9"
"G16002909601002","160299601002","66","9"
"G16002909601003","160299601003","65","9"
"G16002909601004","160299601004","69","9"
"G16002909601005","160299601005","61","8"
"G16002909602001","160299602001","52","7"
"G16002909602002","160299602002","63","8"
"G16003109501001","160319501001","31","3"
"G16003109501002","160319501002","53","7"
"G16003109501003","160319501003","64","9"
"G16003109502001","160319502001","47","6"
"G16003109502002","160319502002","45","6"
"G16003109503001","160319503001","41","5"
"G16003109503002","160319503002","54","7"
"G16003109503003","160319503003","78","10"
"G16003109503004","160319503004","71","9"
"G16003109504001","160319504001","95","10"
"G16003109504002","160319504002","90","10"
"G16003109504003","160319504003","86","10"
"G16003109504004","160319504004","85","10"
"G16003109505001","160319505001","61","8"
"G16003109505002","160319505002","58","8"
"G16003109505003","160319505003","48","6"
"G16003109505004","160319505004","53","7"
"G16003109506001","160319506001","55","7"
"G16003109506002","160319506002","58","8"
"G16003309501001","160339501001","73","10"
"G16003509400011","160359400011","71","9"
"G16003509400012","160359400012","GQ","GQ"
"G16003509400021","160359400021","69","9"
"G16003509400022","160359400022","69","9"
"G16003509400023","160359400023","67","9"
"G16003509400024","160359400024","67","9"
"G16003509400025","160359400025","69","9"
"G16003509400026","160359400026","67","9"
"G16003509701001","160359701001","75","10"
"G16003509701002","160359701002","45","6"
"G16003509701003","160359701003","56","8"
"G16003509701004","160359701004","70","9"
"G16003509701005","160359701005","88","10"
"G16003709602001","160379602001","19","1"
"G16003709602002","160379602002","53","7"
"G16003709602003","160379602003","67","9"
"G16003709602004","160379602004","46","6"
"G16003909601001","160399601001","40","5"
"G16003909601002","160399601002","84","10"
"G16003909602011","160399602011","37","4"
"G16003909602012","160399602012","70","9"
"G16003909602013","160399602013","66","9"
"G16003909602021","160399602021","64","9"
"G16003909602022","160399602022","61","8"
"G16003909603001","160399603001","63","8"
"G16003909603002","160399603002","81","10"
"G16003909603003","160399603003","72","9"
"G16003909603004","160399603004","59","8"
"G16003909604011","160399604011","45","6"
"G16003909604012","160399604012","48","6"
"G16003909604013","160399604013","37","4"
"G16003909604021","160399604021","70","9"
"G16003909604022","160399604022","70","9"
"G16003909605001","160399605001","54","7"
"G16003909605002","160399605002","PH","PH"
"G16003909605003","160399605003","59","8"
"G16004109701001","160419701001","74","10"
"G16004109701002","160419701002","34","4"
"G16004109701003","160419701003","64","9"
"G16004109701004","160419701004","46","6"
"G16004109701005","160419701005","52","7"
"G16004109702001","160419702001","59","8"
"G16004109702002","160419702002","54","7"
"G16004109702003","160419702003","49","7"
"G16004109702004","160419702004","44","6"
"G16004109702005","160419702005","42","5"
"G16004309701001","160439701001","26","2"
"G16004309702001","160439702001","40","5"
"G16004309702002","160439702002","73","10"
"G16004309702003","160439702003","52","7"
"G16004309702004","160439702004","54","7"
"G16004309703011","160439703011","67","9"
"G16004309703012","160439703012","80","10"
"G16004309703013","160439703013","58","8"
"G16004309703014","160439703014","58","8"
"G16004309703021","160439703021","60","8"
"G16004309703022","160439703022","59","8"
"G16004309703023","160439703023","50","7"
"G16004509601001","160459601001","33","4"
"G16004509601002","160459601002","34","4"
"G16004509601003","160459601003","35","4"
"G16004509601004","160459601004","35","4"
"G16004509602001","160459602001","36","4"
"G16004509602002","160459602002","44","6"
"G16004509602003","160459602003","53","7"
"G16004509603011","160459603011","65","9"
"G16004509603012","160459603012","40","5"
"G16004509603021","160459603021","61","8"
"G16004509603022","160459603022","63","8"
"G16004509603023","160459603023","71","9"
"G16004709601011","160479601011","83","10"
"G16004709601012","160479601012","63","8"
"G16004709601013","160479601013","84","10"
"G16004709601021","160479601021","57","8"
"G16004709601022","160479601022","46","6"
"G16004709601023","160479601023","52","7"
"G16004709602011","160479602011","62","8"
"G16004709602012","160479602012","69","9"
"G16004709602013","160479602013","63","9"
"G16004709602014","160479602014","71","9"
"G16004709602021","160479602021","59","8"
"G16004709602022","160479602022","57","8"
"G16004709602023","160479602023","58","8"
"G16004909400001","160499400001","52","7"
"G16004909400002","160499400002","56","8"
"G16004909400003","160499400003","78","10"
"G16004909400004","160499400004","61","8"
"G16004909400005","160499400005","50","7"
"G16004909601001","160499601001","52","7"
"G16004909601002","160499601002","52","7"
"G16004909602011","160499602011","52","7"
"G16004909602021","160499602021","81","10"
"G16004909602022","160499602022","58","8"
"G16004909602023","160499602023","62","8"
"G16004909602024","160499602024","42","5"
"G16004909603001","160499603001","65","9"
"G16004909603002","160499603002","58","8"
"G16004909604001","160499604001","46","6"
"G16005109601001","160519601001","56","8"
"G16005109601002","160519601002","61","8"
"G16005109601003","160519601003","74","10"
"G16005109602001","160519602001","48","6"
"G16005109602002","160519602002","54","7"
"G16005109602003","160519602003","44","6"
"G16005109603011","160519603011","33","4"
"G16005109603021","160519603021","47","6"
"G16005109603022","160519603022","71","9"
"G16005109603023","160519603023","45","6"
"G16005109604011","160519604011","39","5"
"G16005109604012","160519604012","34","4"
"G16005109604013","160519604013","36","4"
"G16005109604021","160519604021","47","6"
"G16005109604022","160519604022","51","7"
"G16005109604023","160519604023","39","5"
"G16005309701001","160539701001","68","9"
"G16005309701002","160539701002","68","9"
"G16005309702001","160539702001","68","9"
"G16005309702002","160539702002","68","9"
"G16005309702003","160539702003","69","9"
"G16005309702004","160539702004","67","9"
"G16005309703001","160539703001","58","8"
"G16005309703002","160539703002","80","10"
"G16005309703003","160539703003","70","9"
"G16005309703004","160539703004","66","9"
"G16005309704001","160539704001","55","8"
"G16005309704002","160539704002","56","8"
"G16005309704003","160539704003","59","8"
"G16005309705011","160539705011","40","5"
"G16005309705012","160539705012","30","3"
"G16005309705013","160539705013","36","4"
"G16005309705014","160539705014","34","4"
"G16005309705021","160539705021","48","6"
"G16005309705022","160539705022","53","7"
"G16005500001011","160550001011","36","4"
"G16005500001012","160550001012","22","2"
"G16005500001021","160550001021","44","6"
"G16005500001022","160550001022","43","6"
"G16005500001023","160550001023","25","2"
"G16005500001024","160550001024","27","2"
"G16005500002011","160550002011","18","1"
"G16005500002012","160550002012","22","2"
"G16005500002021","160550002021","21","2"
"G16005500002022","160550002022","25","2"
"G16005500002031","160550002031","32","3"
"G16005500002032","160550002032","31","3"
"G16005500002033","160550002033","33","4"
"G16005500003011","160550003011","35","4"
"G16005500003012","160550003012","35","4"
"G16005500003013","160550003013","35","4"
"G16005500003014","160550003014","35","4"
"G16005500003015","160550003015","35","4"
"G16005500003031","160550003031","37","4"
"G16005500003032","160550003032","29","3"
"G16005500003041","160550003041","35","4"
"G16005500003042","160550003042","36","4"
"G16005500004011","160550004011","22","2"
"G16005500004012","160550004012","54","7"
"G16005500004013","160550004013","42","5"
"G16005500004014","160550004014","24","2"
"G16005500004021","160550004021","23","2"
"G16005500004022","160550004022","38","5"
"G16005500004023","160550004023","33","4"
"G16005500004024","160550004024","84","10"
"G16005500005011","160550005011","44","6"
"G16005500005012","160550005012","43","6"
"G16005500005013","160550005013","43","6"
"G16005500005014","160550005014","43","6"
"G16005500005021","160550005021","23","2"
"G16005500005022","160550005022","52","7"
"G16005500005031","160550005031","34","4"
"G16005500005032","160550005032","34","4"
"G16005500006011","160550006011","33","4"
"G16005500006012","160550006012","42","5"
"G16005500006013","160550006013","28","3"
"G16005500006021","160550006021","41","5"
"G16005500006022","160550006022","39","5"
"G16005500006023","160550006023","41","5"
"G16005500006024","160550006024","43","6"
"G16005500007011","160550007011","31","3"
"G16005500007012","160550007012","32","3"
"G16005500007021","160550007021","36","4"
"G16005500007022","160550007022","30","3"
"G16005500007031","160550007031","84","10"
"G16005500007032","160550007032","32","3"
"G16005500007033","160550007033","23","2"
"G16005500007041","160550007041","22","2"
"G16005500007042","160550007042","20","2"
"G16005500008001","160550008001","32","3"
"G16005500008002","160550008002","27","2"
"G16005500009011","160550009011","74","10"
"G16005500009012","160550009012","85","10"
"G16005500009021","160550009021","34","4"
"G16005500009022","160550009022","59","8"
"G16005500010021","160550010021","23","2"
"G16005500010022","160550010022","29","3"
"G16005500010031","160550010031","35","4"
"G16005500010032","160550010032","25","2"
"G16005500010041","160550010041","42","5"
"G16005500010042","160550010042","42","5"
"G16005500011001","160550011001","18","1"
"G16005500012011","160550012011","40","5"
"G16005500012012","160550012012","36","4"
"G16005500012021","160550012021","52","7"
"G16005500012022","160550012022","51","7"
"G16005500012023","160550012023","GQ","GQ"
"G16005500013001","160550013001","45","6"
"G16005500013002","160550013002","40","5"
"G16005500013003","160550013003","46","6"
"G16005500014001","160550014001","37","4"
"G16005500014002","160550014002","24","2"
"G16005500015001","160550015001","40","5"
"G16005500015002","160550015002","30","3"
"G16005500015003","160550015003","37","4"
"G16005500016001","160550016001","45","6"
"G16005500016002","160550016002","16","1"
"G16005500017001","160550017001","19","1"
"G16005500017002","160550017002","16","1"
"G16005500017003","160550017003","10","1"
"G16005500018011","160550018011","13","1"
"G16005500018012","160550018012","13","1"
"G16005500018013","160550018013","8","1"
"G16005500018021","160550018021","18","1"
"G16005500018022","160550018022","24","2"
"G16005500018023","160550018023","26","2"
"G16005500018024","160550018024","14","1"
"G16005500019011","160550019011","27","2"
"G16005500019012","160550019012","23","2"
"G16005500019021","160550019021","23","2"
"G16005500020001","160550020001","15","1"
"G16005500020002","160550020002","12","1"
"G16005509400001","160559400001","65","9"
"G16005509400002","160559400002","19","1"
"G16005509400003","160559400003","36","4"
"G16005700051011","160570051011","47","6"
"G16005700051012","160570051012","49","7"
"G16005700051021","160570051021","54","7"
"G16005700051022","160570051022","54","7"
"G16005700051023","160570051023","54","7"
"G16005700051024","160570051024","54","7"
"G16005700052001","160570052001","26","2"
"G16005700052002","160570052002","45","6"
"G16005700052003","160570052003","44","6"
"G16005700052004","160570052004","43","6"
"G16005700052005","160570052005","33","4"
"G16005700053011","160570053011","43","6"
"G16005700053012","160570053012","38","5"
"G16005700053021","160570053021","47","6"
"G16005700053022","160570053022","50","7"
"G16005700053023","160570053023","40","5"
"G16005700054001","160570054001","46","6"
"G16005700054002","160570054002","45","6"
"G16005700054003","160570054003","GQ","GQ"
"G16005700054004","160570054004","GQ","GQ"
"G16005700055001","160570055001","40","5"
"G16005700055002","160570055002","36","4"
"G16005700055003","160570055003","57","8"
"G16005700055004","160570055004","39","5"
"G16005700056001","160570056001","57","8"
"G16005700056002","160570056002","41","5"
"G16005700056003","160570056003","47","6"
"G16005700056004","160570056004","32","3"
"G16005700057001","160570057001","49","7"
"G16005700057002","160570057002","54","7"
"G16005700057003","160570057003","46","6"
"G16005909701001","160599701001","51","7"
"G16005909701002","160599701002","64","9"
"G16005909702001","160599702001","85","10"
"G16005909702002","160599702002","74","10"
"G16005909702003","160599702003","66","9"
"G16005909703001","160599703001","52","7"
"G16005909703002","160599703002","39","5"
"G16005909703003","160599703003","49","7"
"G16006109400011","160619400011","71","9"
"G16006109400021","160619400021","76","10"
"G16006109400022","160619400022","71","9"
"G16006109400023","160619400023","70","9"
"G16006109503001","160619503001","PH","PH"
"G16006309501001","160639501001","70","9"
"G16006309501002","160639501002","65","9"
"G16006309501003","160639501003","73","10"
"G16006309501004","160639501004","67","9"
"G16006509501011","160659501011","19","1"
"G16006509501012","160659501012","46","6"
"G16006509501021","160659501021","35","4"
"G16006509501022","160659501022","51","7"
"G16006509501031","160659501031","40","5"
"G16006509501032","160659501032","40","5"
"G16006509502001","160659502001","68","9"
"G16006509502002","160659502002","57","8"
"G16006509502003","160659502003","65","9"
"G16006509503011","160659503011","GQ","GQ"
"G16006509503012","160659503012","GQ-PH","GQ-PH"
"G16006509503013","160659503013","55","8"
"G16006509503014","160659503014","55","8"
